corp_code,stock_code,corp_name,market,ksic_code,ksic_name,memo,updated_at,수익인식기준,수익인식 코드,분류
00288343,065570,삼영이엔씨,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 C | 해상통신/항해장비 | 해상통신·항해장비 중심, 군·해양 방산 관련성 확인 필요",2026-07-09,,,
01011368,295310,에이치브이엠,KOSDAQ,C24219,"기타 비철금속 제련, 정련 및 합금 제조업",방산 B | 첨단금속소재/우주항공소재 | 우주·항공·방산용 첨단금속 소재,2026-07-09,,,
01390344,329180,HD현대중공업,KOSPI,C31113,기타 선박 건조업,방산 B | 해양방산/함정/특수선 | 조선업 겸업,2026-07-09,,,
00385363,065450,빅텍,KOSDAQ,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업","방산 A | 전자전/피아식별/군용전원 | 전자전 시스템, IFF, 군용 전원공급장치",2026-07-09,,,
00106641,000270,기아,KOSPI,C30121,내연기관 승용차 및 기타 여객용 자동차 제조업,방산 C | 군용차량/특수차량 | 자동차 사업 비중 큼,2026-07-09,,,
00480455,077970,STX엔진,KOSPI,C29111,내연기관 제조업,방산 B | 방산엔진/전자통신 | 전차·자주포·함정용 엔진,2026-07-09,,,
00684714,103140,풍산,KOSPI,C24221,"동 압연, 압출 및 연신제품 제조업",방산 A | 탄약/방산소재 | 탄약 및 방산부문,2026-07-09,,,
00503668,079550,LIG디펜스앤에어로스페이스,KOSPI,C25200,무기 및 총포탄 제조업,방산 A | 유도무기/감시정찰/C4I/전자전 | 구 LIG넥스원,2026-07-09,,,
00148522,010820,퍼스텍,KOSPI,C25200,무기 및 총포탄 제조업,방산 B | 방산부품/항공우주/유도무기 | 방위산업 제품 제조,2026-07-09,,,
00141583,484590,삼양컴텍,KOSDAQ,C25200,무기 및 총포탄 제조업,"방산 A | 방탄/방호/특수장갑 | K2 전차 특수장갑, 방탄헬멧, 방탄복",2026-07-09,,,
00111421,005870,휴니드,KOSPI,C26420,방송 및 무선 통신장비 제조업,"방산 B | 전술통신/항공전자 | 방산 통신장비, 항공전자",2026-07-09,,,
00111704,042660,한화오션,KOSPI,C31110,선박 및 수상 부유 구조물 건조업,방산 B | 해양방산/특수선/잠수함 | 조선업 겸업,2026-07-09,,,
00359261,072950,빛샘전자,KOSDAQ,C26410,유선 통신장비 제조업,"방산 B | 군수 케이블/와이어링 하네스 | 국방무기체계용 특수 케이블 조립체, 광통신 겸업",2026-07-09,,,
00154718,082920,비츠로셀,KOSDAQ,C28201,일차전지 제조업,"방산 B | 군용전지/특수전지 | 군용 리튬일차전지, 앰플전지, 열전지",2026-07-09,,,
00134477,003570,SNT다이내믹스,KOSPI,C30331,자동차용 신품 동력전달장치 제조업,방산 B | 변속기/구동장치 | K2/K9 관련 부품,2026-07-09,,,
00612489,214430,아이쓰리시스템,KOSDAQ,C26295,전자감지장치 제조업,"방산 A | 적외선 센서/검출기 | 군수용 적외선 영상센서, 적외선 검출기",2026-07-09,,,
01513440,368770,파이버프로,KOSDAQ,C26295,전자감지장치 제조업,"방산 B | 관성항법/광섬유 센서 | 방산·항공우주용 항법장치, 광섬유 센서",2026-07-09,,,
00302926,064350,현대로템,KOSPI,C31910,전투용 차량 제조업,"방산 A | 전차/지상무기체계 | K2 전차, 철도사업 겸업",2026-07-09,,,
00959210,448710,코츠테크놀로지,KOSDAQ,C26310,컴퓨터 제조업,"방산 A | 방산용 임베디드컴퓨터/전시기 | 무기체계 탑재 컴퓨터, 군용 전시기",2026-07-09,,,
01685251,451760,컨텍,KOSDAQ,J62010,컴퓨터 프로그래밍 서비스업,"방산 B | 위성 지상국/우주 데이터 | 위성 데이터, 지상국 서비스, 우주 인프라",2026-07-09,,,
00633835,097230,HJ중공업,KOSPI,F41220,토목시설물 건설업,방산 C | 해양방산/함정/특수선 | 건설·조선 겸업,2026-07-09,,,
00362159,065950,웰크론,KOSDAQ,C13219,특수직물 및 기타 직물 직조업,"방산 C | 방탄/방검/보호소재 | 섬유·생활용품·플랜트 겸업, 방산 비중 확인 필요",2026-07-09,,,
00113526,003490,대한항공,KOSPI,H51100,항공 여객 운송업,방산 C | 군용기 MRO/무인기/항공우주 | 항공운송업 비중 큼,2026-07-09,,,
00309503,047810,한국항공우주,KOSPI,C31310,"항공기, 우주선 및 보조장치 제조업","방산 A | 군용기/항공우주/무인기 | KAI, FA-50, KF-21",2026-07-09,,,
00449254,099320,쎄트렉아이,KOSDAQ,C31310,"항공기, 우주선 및 보조장치 제조업","방산 B | 위성체/관측위성/지상국 | 지구관측 위성시스템, 위성 탑재체, 국방우주 관련",2026-07-09,,,
01787355,478340,나라스페이스테크놀로지,KOSDAQ,C31310,"항공기, 우주선 및 보조장치 제조업","방산 C | 초소형위성/우주관측 | 초소형 관측위성, 국방우주 관련성 확인 필요",2026-07-09,,,
00126566,012450,한화에어로스페이스,KOSPI,C31322,항공기용 부품 제조업,"방산 A | 지상무기/탄약/항공엔진/우주항공 | K9, 천무, 항공엔진",2026-07-09,,,
01158553,274090,켄코아에어로스페이스,KOSDAQ,C31322,항공기용 부품 제조업,"방산 B | 항공기 구조물/방산항공/우주항공 | 군용기 부품, 항공기 구조물, 우주항공 소재",2026-07-09,,,
00160843,068270,DB하이텍,KOSPI,C2611,전자집적회로 제조업,"반도체 A | 파운드리(웨이퍼 위탁생산) | Wafer 등 95%, 부동산·합금철 사업 소액 겸업",2026-07-11,,,
01199550,267260,HD현대에너지솔루션,KOSPI,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업","반도체 C | 태양광 모듈·ESS | 실제 사업은 태양광모듈·PCS/ESS 100%, 반도체(디지털) 밀접도 낮음, ETF 편입 사유 확인 필요",2026-07-11,,,
01288827,061970,HPSP,KOSDAQ,C29271,반도체 제조용 기계 제조업,반도체 A | 반도체 후공정 장비(어닐링) | 고압수소 어닐링장비(GENI-SYS) 89.1%,2026-07-11,,,
00572905,024800,ISC,KOSDAQ,G465,기계장비 및 관련 물품 도매업,"반도체 A | IC 테스트소켓 | Test Socket 등 98.8%, DART 등록 업종코드(도매업)와 실제 사업 불일치",2026-07-11,,,
00525934,148040,LX세미콘,KOSPI,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업","반도체 A | 디스플레이구동칩(DDI) 팹리스 | Driver-IC, 매출 100% 시스템반도체",2026-07-11,,,
01078178,204210,RFHIC,KOSDAQ,C264,통신 및 방송장비 제조업,"반도체 B | RF 화합물반도체(GaN/GaAs) | GaN 전력증폭기 등, 통신·레이더·방산向 겸업(방산 DB에도 등재)",2026-07-11,,,
00301246,007920,SFA반도체,KOSDAQ,C2611,전자집적회로 제조업,"반도체 A | 반도체 패키징·테스트(OSAT) | 메모리·비메모리 패키징, 매출 100% 반도체",2026-07-11,,,
00164779,000660,SK하이닉스,KOSPI,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업","반도체 A | 메모리 제조 | DRAM·NAND Flash 등, 매출 100% 반도체",2026-07-11,,,
01364747,052690,가온칩스,KOSDAQ,C26112,비메모리용 및 기타 전자집적회로 제조업,"반도체 A | 팹리스 디자인하우스(ASIC) | 반도체 설계 서비스, 매출 100% 반도체",2026-07-11,,,
00579999,092220,고영,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 C | 3D 검사장비(SMT) | 전자제품·반도체 생산용 검사장비로 병기, 의료로봇·AI솔루션 겸업, 반도체 전용 비중 특정 불가",2026-07-11,,,
01080252,396770,넥스틴,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 웨이퍼 결함검사장비 | AEGIS 등 전 제품군이 반도체 검사장비, 매출 100% 반도체",2026-07-11,,,
01061558,126340,덕산네오룩스,KOSDAQ,C262,전자 부품 제조업,"반도체 C | OLED 디스플레이 소재 | 실제 사업은 디스플레이소재 58.8%·터보기계 부품(펌프·압축기) 41.2%, 반도체향 매출 명시 없음",2026-07-11,,,
00563545,367770,두산테스나,KOSDAQ,M739,"그 외 기타 전문, 과학 및 기술 서비스업","반도체 A | 반도체 테스트(OSAT) | Wafer Test·PKG Test, 매출 대부분 반도체 테스트",2026-07-11,,,
00369657,058430,리노공업,KOSDAQ,C2629,기타 전자 부품 제조업,"반도체 A | IC 테스트소켓·핀 | LEENO PIN, IC TEST SOCKET 등 88.9%, 의료기기부품 겸업(11.1%)",2026-07-11,,,
00126380,005930,삼성전자,KOSPI,C264,통신 및 방송장비 제조업,"반도체 C | 메모리·시스템반도체(DS부문) | DS부문 매출비중 39.0%, DX(가전·모바일) 비중이 더 큼(56.3%)",2026-07-11,,,
01095722,058650,심텍,KOSDAQ,C2622,인쇄회로기판 및 전자부품 실장기판 제조업,"반도체 A | 반도체 패키지 기판 | Package Substrate 75.4%, Module PCB 24.6%",2026-07-11,,,
00411048,034230,에스앤에스텍,KOSDAQ,C2629,기타 전자 부품 제조업,"반도체 A | 반도체·FPD용 블랭크마스크 | 블랭크마스크 96.3%, 신기술금융업 겸업 소액",2026-07-11,,,
01109539,041920,와이씨,KOSDAQ,C292,특수 목적용 기계 제조업,반도체 A | 반도체 웨이퍼 테스터 | 메모리 웨이퍼 테스터 및 부속품 98.1%,2026-07-11,,,
01135941,240810,원익IPS,KOSDAQ,C292,특수 목적용 기계 제조업,"반도체 B | 반도체·디스플레이·태양광 장비 겸업 | 3개 산업용 장비를 묶어 매출 공시, 반도체 단독 비중 특정 불가",2026-07-11,,,
00531014,039440,유진테크,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 증착장비·소재 | LPCVD 등 장비 81.0%, 반도체 소재(전구체) 4.2%",2026-07-11,,,
00246417,011930,이오테크닉스,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 B | 레이저 응용장비 | 레이저마커 등 74.5%, 반도체 전용 매출 구분 없이 '전사' 기준 공시",2026-07-11,,,
00447487,090460,제주반도체,KOSDAQ,C2611,전자집적회로 제조업,"반도체 A | 팹리스(모바일 메모리) | NAND MCP·DRAM 등 모바일 메모리, 매출 100% 반도체",2026-07-11,,,
00252135,036930,주성엔지니어링,KOSDAQ,C29229,기타 가공 공작기계 제조업,"반도체 B | 반도체·디스플레이·태양전지 장비 겸업 | 3개 산업용 장비를 묶어 매출 공시, 반도체 단독 비중 특정 불가",2026-07-11,,,
01261893,063770,케이씨텍,KOSPI,C272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외","반도체 A | 반도체 CMP 장비·소재 | 반도체부문(CMP 장비, Slurry) 90.3%, 디스플레이부문 겸업(9.7%)",2026-07-11,,,
00997812,054450,코미코,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 장비부품 재생(세정·코팅) | 세정·코팅·부품, 매출 100% 반도체 장비 유지보수",2026-07-11,,,
01366000,323280,태성,KOSDAQ,C292,특수 목적용 기계 제조업,"반도체 B | 반도체·디스플레이 정밀장비 | 정면기·표면처리·식각장비 등, 용역·상품·기타매출 비중 37%",2026-07-11,,,
00535676,204940,테크윙,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 검사장비 | Test Handler 등 93.1%, 디스플레이평가장비 자회사 겸업(6.9%)",2026-07-11,,,
00245472,036620,티씨케이,KOSDAQ,C23999,그 외 기타 분류 안된 비금속 광물제품 제조업,"반도체 A | 반도체 공정용 SiC·흑연 부품 | Solid SiC부문 84.6%, Graphite(반도체용) 11.0%",2026-07-11,,,
01292291,224110,파두,KOSDAQ,C26112,비메모리용 및 기타 전자집적회로 제조업,"반도체 A | 팹리스(SSD 컨트롤러) | SSD 컨트롤러·완제품 설계, 주요제품 매출 89.5%",2026-07-11,,,
01365825,066800,피에스케이,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 공정장비 | 반도체 제조용 장비 및 부품·용역, 매출 100% 반도체",2026-07-11,,,
00208444,020960,피에스케이홀딩스,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 공정장비(지주회사) | 반도체 제조용 장비 및 부품·용역, 매출 100% 반도체",,,,
00938721,039030,필옵틱스,KOSDAQ,C2927,반도체 및 디스플레이 제조용 기계 제조업,"반도체 C | OLED·이차전지 공정장비 | 반도체 공정장비(TGV 등) 비중 11.7%에 불과, 주력은 디스플레이(52.6%)·이차전지(32.1%)",,,,
00445054,081370,하나마이크론,KOSDAQ,C2611,전자집적회로 제조업,"반도체 A | 반도체 패키징·재료 | PKG 등 반도체제조 82.2%, 반도체재료(실리콘부품) 17.8%",,,,
00660750,205470,하나머티리얼즈,KOSDAQ,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",반도체 A | 반도체 식각장비 소모품 | 실리콘부품 등 반도체 부품 99.78%,,,,
00161383,042700,한미반도체,KOSPI,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 후공정 장비(본더) | Bonder 등 반도체 제조용 장비, 매출 100% 반도체",,,,
00367844,317400,자이에스앤디,KOSPI,L68100,부동산 임대 및 공급업,"아파트·주택 개발, 소규모 재건축, 건물관리·홈네트워크",,장비 설치·검수 또는 고객 인수 시점 인식. 장기 맞춤형 계약은 기간에 걸쳐 인식 가능,SALE_POINT,비건설·혼합형
00102432,013580,계룡건설,KOSPI,F41200,토목 건설업,주택·건축·토목·산업시설 종합건설,,"건설은 진행기준, 분양은 계약조건별 진행 또는 인도기준, 관리용역은 기간기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED + SERVICE_OT,종합건설·개발
00120030,006360,GS건설,KOSPI,F41110,주거용 건물 건설업,주택·플랜트·인프라·모듈러,,"도급공사는 원가투입법 진행기준, 자체분양은 계약조건별 판단",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00124540,047040,대우건설,KOSPI,F41112,아파트 건설업,주택·토목·플랜트·원전·해외공사,,"도급·EPC는 진행기준, 주택분양은 진행 또는 인도기준, 제품은 인도기준",MIXED,종합건설·EPC
00164478,000720,현대건설,KOSPI,F41221,도로 건설업,대형 토목·건축·플랜트·원전·주택,,"공사는 진행기준, 자체개발·분양은 계약조건별 인식",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설·EPC
00128980,010960,삼호개발,KOSPI,F42100,기반조성 및 시설물 축조관련 전문공사업,도로·철도·터널·교량 등 토목 전문공사,,"EPC·도급공사는 진행기준, 아파트 분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설·EPC
00146232,013360,일성건설,KOSPI,F41221,도로 건설업,아파트·건축·토목·해외건설,,공사기간 중 원가투입법 진행기준,CONSTRUCTION_OT,전문건설·토목
00633835,097230,HJ중공업,KOSPI,F41221,도로 건설업,조선·토목·건축·주택·선박 건조,,"도급공사는 진행기준, 분양사업은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00161116,014790,HL D&I,KOSPI,F41221,도로 건설업,주택·건축·토목·플랜트,,"건설·선박 제작은 장기계약 진행기준, 일부 제품은 인도기준",MIXED,건설·조선 복합
00107066,001260,남광토건,KOSPI,F41221,도로 건설업,토목·건축·주택·해외공사,,"도급공사는 진행기준, 자체분양은 계약조건별 판단",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00153861,009410,태영건설,KOSPI,F41221,도로 건설업,주택·건축·토목·환경·개발사업,,"도급공사는 진행기준, 분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00126308,028050,삼성E&A,KOSPI,M72129,기타 엔지니어링 서비스업,석유화학·정유·가스·산업설비 글로벌 EPC,,"도급공사는 진행기준, 개발·분양은 사업구조에 따라 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설·개발
00413523,053690,한미글로벌,KOSPI,M72111,건축설계 및 관련 서비스업,건설사업관리·PM·CM·감리·컨설팅,,설계·조달·시공 결합 EPC 계약을 원가투입법 진행기준으로 인식,CONSTRUCTION_OT,플랜트·EPC
00152880,003070,코오롱글로벌,KOSPI,F41221,도로 건설업,건설·주택·상사·자동차 유통,,프로젝트 관리용역을 제공기간 또는 투입시간에 따라 인식,SERVICE_OT,설계·감리·CM
00150828,002780,진흥기업,KOSPI,F41221,도로 건설업,주택·건축·토목,,"공사는 진행기준, 상품·자동차는 인도기준, 분양은 계약조건별 인식",MIXED,종합건설·유통 복합
00159500,023350,한국종합기술,KOSPI,M72121,건물 및 토목 엔지니어링 서비스업,토목·환경·수자원 설계·감리·엔지니어링,,"도급공사는 진행기준, 분양사업은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00174527,002460,HS화성,KOSPI,F41112,아파트 건설업,주택·건축·토목·환경사업,,설계·감리 용역의 진행도에 따라 기간에 걸쳐 인식,SERVICE_OT,설계·감리·엔지니어링
00178754,028100,동아지질,KOSPI,F42100,기반조성 및 시설물 축조관련 전문공사업,터널·지하공간·지반개량·기초공사,,"도급공사는 진행기준, 자체주택 분양은 계약조건별 인식",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
01310269,294870,IPARK현대산업개발,KOSPI,F41100,종합 건설업,주택개발·도급건축·도시개발,,전문건설 계약을 진행기준으로 인식,CONSTRUCTION_OT,전문건설·토목
00115612,005960,동부건설,KOSPI,F41200,토목 건설업,토목·건축·주택·플랜트·물류시설,,"도급공사는 진행기준, 자체개발·분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설·개발
00114552,002150,도화엔지니어링,KOSPI,M72121,건물 및 토목 엔지니어링 서비스업,교통·수자원·도시·플랜트 설계·감리·PM,,"도급공사는 진행기준, 분양사업은 계약조건별 인식",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
01524093,375500,DL이앤씨,KOSPI,F41200,토목 건설업,주택·토목·플랜트·에너지 EPC,,설계·감리 용역을 투입시간·원가에 따라 기간에 걸쳐 인식,SERVICE_OT,설계·감리·엔지니어링
00121969,023960,에쓰씨엔지니어링,KOSPI,F41225,"산업설비, 운송장비 및 공공장소 건설업",화공·산업플랜트 EPC·바이오헬스케어,,"도급·EPC는 진행기준, 주택분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설·EPC
00115977,010780,아이에스동서,KOSPI,C23320,"콘크리트, 시멘트 및 플라스터 제품 제조업",주택·건설·콘크리트 제품·환경·폐기물,,"EPC 공사는 진행기준, 상품·제품은 인도기준",MIXED,플랜트·EPC
00162063,004960,한신공영,KOSPI,F41112,아파트 건설업,아파트·건축·토목,,"공사는 진행기준, 분양은 계약조건별, 제품은 인도기준",MIXED,건설·제조·환경 복합
00129420,013700,까뮤이앤씨,KOSPI,F41121,산업생산시설 종합건설업,PC 공법 건축·토목·프리캐스트 콘크리트,,"도급공사는 진행기준, 자체분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00350312,039570,HDC랩스,KOSPI,F42300,전기 및 통신 공사업,스마트빌딩·홈네트워크·시설관리·부동산 운영,,"공사는 진행기준, PC 부재 단순 판매는 인도기준",MIXED,PC건축·제조
00122694,002410,범양건영,KOSPI,F41100,종합 건설업,주택·건축·토목·모듈러 건축,,"설치공사는 진행기준, 시설관리·운영은 기간기준, 장비는 인도기준",MIXED,스마트빌딩·시설관리
00125974,001470,삼부토건,KOSPI,F41221,도로 건설업,토목·건축·주택·해외공사,,"도급공사는 진행기준, 모듈러 제품은 계약에 따라 진행 또는 인도기준",MIXED,종합건설·모듈러
00143262,010400,우진아이엔에스,KOSPI,F42200,건물설비 설치 공사업,반도체·디스플레이·건축물 기계·소방설비,,"공사는 진행기준, 분양사업은 계약조건별 인식",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00106313,002990,금호건설,KOSPI,F41112,아파트 건설업,주택·건축·토목·공항·플랜트,,"설비 시공은 진행기준, 장비·자재 판매는 인도기준",MIXED,전문설비
00216498,037350,성도이엔지,KOSDAQ,M72100,"건축기술, 엔지니어링 및 관련 기술 서비스업",반도체·디스플레이 클린룸·산업플랜트,,"도급공사는 진행기준, 주택분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
225742,60370,LS마린솔루션,KOSDAQ,F42300,전기 및 통신 공사업,해저통신·전력케이블 설치·유지보수,,"클린룸·플랜트 공사는 진행기준, 장비는 인도기준",MIXED,클린룸·플랜트
00485177,094820,일진파워,KOSDAQ,F42300,전기 및 통신 공사업,발전소 경상정비·플랜트 시공·원자력,,"케이블 설치 프로젝트는 진행기준, 유지보수는 기간기준",CONSTRUCTION_OT + SERVICE_OT,해저케이블 시공
00117966,013120,동원개발,KOSDAQ,F41112,아파트 건설업,주택건설·아파트 분양,,"장기 정비·시공은 진행기준, 경상정비는 용역 제공기간 기준",CONSTRUCTION_OT + SERVICE_OT,발전정비·플랜트
00236863,037440,희림,KOSDAQ,M72111,건축설계 및 관련 서비스업,건축설계·CM·감리,,"도급공사는 진행기준, 자체분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,주택개발
00411808,418550,제이오,KOSDAQ,M72100,"건축기술, 엔지니어링 및 관련 기술 서비스업",플랜트 EPC·탄소나노튜브 제조,,설계·감리 용역의 진행률 또는 투입시간에 따라 기간기준,SERVICE_OT,설계·감리·CM
00105466,021320,KCC건설,KOSDAQ,F41112,아파트 건설업,건축·토목·주택·플랜트,,"플랜트는 진행기준, 탄소나노튜브 제품은 인도기준",MIXED,플랜트·소재
00219848,035890,서희건설,KOSDAQ,F41120,비주거용 건물 건설업,지역주택조합 아파트·건축·토목,,"공사는 진행기준, 자체분양은 계약조건별 인식",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설
00133876,011560,세보엠이씨,KOSDAQ,F42200,건물설비 설치 공사업,반도체·디스플레이·대형건축물 기계설비,,도급공사는 진행기준. 조합사업은 시행·시공 역할에 따라 총액·순액 판단,CONSTRUCTION_OT + DEVELOPMENT_MIXED,지역주택조합·건설
00116408,025950,동신건설,KOSDAQ,F41221,도로 건설업,지역 기반 토목·건축공사,,전문설비 공사를 원가투입법 진행기준으로 인식,CONSTRUCTION_OT,전문설비
00136925,017000,신원종합개발,KOSDAQ,F41112,아파트 건설업,주택·건축·토목·부동산 개발,,도급공사는 진행기준,CONSTRUCTION_OT,종합건설
00232007,042940,상지건설,KOSDAQ,F41100,종합 건설업,고급주택·오피스텔·상업시설 건축·개발,,"공사는 진행기준, 개발·분양은 진행 또는 인도기준",CONSTRUCTION_OT + DEVELOPMENT_MIXED,종합건설·개발
00186939,026150,특수건설,KOSDAQ,F41200,토목 건설업,터널·교량·지하구조물·기초공사,,"도급공사는 진행기준, 자체개발 분양은 계약조건별 인식",CONSTRUCTION_OT + DEVELOPMENT_MIXED,건축·개발
00364254,085810,알티캐스트,KOSDAQ,J58222,응용 소프트웨어 개발 및 공급업,방송·모빌리티 소프트웨어,,전문 토목공사는 진행기준,CONSTRUCTION_OT,전문건설·토목
00389998,066980,한성크린텍,KOSDAQ,M72100,"건축기술, 엔지니어링 및 관련 기술 서비스업",반도체·디스플레이용 초순수·수처리 설비 EPC,,"소프트웨어 구축은 진행기준, 라이선스는 제공 시점, 유지보수는 기간기준",MIXED,비건설·소프트웨어
00144650,054930,유신,KOSDAQ,M72111,건축설계 및 관련 서비스업,도로·철도·공항·수자원 설계·감리·CM,,설계·건설·설비 제작은 진행기준 또는 계약별 인도기준,MIXED,수처리·EPC
00363246,046940,우원개발,KOSDAQ,F42100,기반조성 및 시설물 축조관련 전문공사업,철도·도로·터널 등 토목 전문공사,,설계·감리 용역을 기간에 걸쳐 인식,SERVICE_OT,설계·감리·엔지니어링
00111838,007680,대원,KOSDAQ,F41112,아파트 건설업,주택건설·아파트 분양·의류,,원가투입법에 따른 진행기준,CONSTRUCTION_OT,전문건설·토목
00410997,069140,누리플랜,KOSDAQ,C25112,구조용 금속 판제품 및 공작물 제조업,경관조명·방음벽·교량시설·환경설비,,"공사는 진행기준, 분양은 진행 또는 인도기준, 상품은 인도기준",MIXED,건설·분양·의류 복합
